node
#name   v   h   type    cost
	0	0.0	0.0	0
	1	0.0	0.0	95
	2	0.0	0.0	0
	3	0.0	0.0	0
	4	0.0	0.0	0
	5	0.0	0.0	0
	6	0.0	0.0	0
	7	0.0	0.0	29
	8	0.0	0.0	0
	9	0.0	0.0	0
	10	0.0	0.0	0
	11	0.0	0.0	0
	12	0.0	0.0	35
	13	0.0	0.0	0
	14	0.0	0.0	82
	15	0.0	0.0	0
	16	0.0	0.0	0
	17	0.0	0.0	10
	18	0.0	0.0	27
	19	0.0	0.0	0
	20	0.0	0.0	32
	21	0.0	0.0	0
	22	0.0	0.0	0
	23	0.0	0.0	0
	24	0.0	0.0	0
link
#name   n1  n2  cost    source  type
	1	0	18	8	0	0.0
	2	0	12	10	0	0.0
	3	0	17	10	0	0.0
	4	0	15	10	0	0.0
	5	0	7	7	0	0.0
	6	1	10	2	0	0.0
	7	1	24	9	0	0.0
	8	1	21	10	0	0.0
	9	1	12	9	0	0.0
	10	2	3	1	0	0.0
	11	2	14	4	0	0.0
	12	2	6	3	0	0.0
	13	2	5	3	0	0.0
	14	2	16	5	0	0.0
	15	2	21	7	0	0.0
	16	2	11	10	0	0.0
	17	3	17	5	0	0.0
	18	3	16	8	0	0.0
	19	4	6	8	0	0.0
	20	4	21	7	0	0.0
	21	5	17	2	0	0.0
	22	6	7	6	0	0.0
	23	6	23	1	0	0.0
	24	6	24	8	0	0.0
	25	7	15	10	0	0.0
	26	7	13	3	0	0.0
	27	7	10	6	0	0.0
	28	7	14	6	0	0.0
	29	7	21	3	0	0.0
	30	7	9	8	0	0.0
	31	8	15	4	0	0.0
	32	8	21	6	0	0.0
	33	8	13	2	0	0.0
	34	8	11	1	0	0.0
	35	9	24	9	0	0.0
	36	11	14	8	0	0.0
	37	11	23	8	0	0.0
	38	12	24	4	0	0.0
	39	12	23	3	0	0.0
	40	13	17	1	0	0.0
	41	13	19	2	0	0.0
	42	13	16	8	0	0.0
	43	14	20	2	0	0.0
	44	14	18	2	0	0.0
	45	15	24	3	0	0.0
	46	17	19	8	0	0.0
	47	18	22	8	0	0.0
	48	19	21	3	0	0.0
	49	20	21	2	0	0.0
	50	23	24	2	0	0.0
