node
#name   v   h   type    cost
	0	0.0	0.0	8
	1	0.0	0.0	0
	2	0.0	0.0	72
	3	0.0	0.0	0
	4	0.0	0.0	0
	5	0.0	0.0	0
	6	0.0	0.0	61
	7	0.0	0.0	0
	8	0.0	0.0	92
	9	0.0	0.0	52
	10	0.0	0.0	0
	11	0.0	0.0	0
	12	0.0	0.0	0
	13	0.0	0.0	0
	14	0.0	0.0	0
link
#name   n1  n2  cost    source  type
	1	0	1	6	0	0.0
	2	1	7	4	0	0.0
	3	1	4	1	0	0.0
	4	1	2	4	0	0.0
	5	3	13	8	0	0.0
	6	3	10	9	0	0.0
	7	3	6	4	0	0.0
	8	3	8	1	0	0.0
	9	3	12	6	0	0.0
	10	4	8	8	0	0.0
	11	4	10	3	0	0.0
	12	5	13	1	0	0.0
	13	6	9	10	0	0.0
	14	6	8	9	0	0.0
	15	6	7	7	0	0.0
	16	6	12	8	0	0.0
	17	6	11	6	0	0.0
	18	7	14	1	0	0.0
	19	7	12	8	0	0.0
	20	9	13	10	0	0.0
	21	10	12	10	0	0.0
